num_1,num_2,num_3,num_4,num_5,first_name,last_name_2,city_3,country_4,department_5,with_nulls_1,with_nulls_2,constant_1,constant_2
6,417.75630252604225,38.452820819789515,44,191.8503181465524,Isabella,Hill,Milwaukee,UK,IT,,Kansas City,CONSTANT,CONSTANT
34,39.467660206914616,58.97751184959124,73,734.4298218867185,Chloe,Perez,Charlotte,Singapore,Customer Support,,,CONSTANT,CONSTANT
11,574.8159390680948,43.95923524927784,88,644.5871021199986,Aria,Nguyen,Raleigh,Japan,Operations,Austin,,CONSTANT,CONSTANT
98,804.3737065534248,53.64675428390919,2,27.16321800740684,Michael,Robinson,Jacksonville,Singapore,Research,Boston,Denver,CONSTANT,CONSTANT
52,345.5234556681677,67.7907480877272,80,133.7414111882289,Riley,Hill,Long Beach,Peru,Design,,,CONSTANT,CONSTANT
34,383.52499579874234,54.34896668107259,73,169.37460689338891,William,Taylor,San Antonio,France,IT,,,CONSTANT,CONSTANT
13,242.8516352016312,61.17426705266673,87,399.56357558044743,William,Green,Raleigh,Poland,Finance,,,CONSTANT,CONSTANT
4,44.79419458522427,59.87338898615054,31,431.0998362826035,Liam,Gonzalez,Dallas,Singapore,Customer Support,,New York,CONSTANT,CONSTANT
48,807.382153054307,25.569594056891432,10,24.947063383327418,Emma,Scott,Milwaukee,Portugal,Analytics,San Antonio,,CONSTANT,CONSTANT
68,20.612862817685595,52.51474384563328,33,234.92919319743066,Alexander,Anderson,Columbus,New Zealand,Product,Tucson,,CONSTANT,CONSTANT
71,768.7125958515551,35.9274558876753,74,593.2985174626955,Olivia,Smith,Raleigh,Singapore,Marketing,,,CONSTANT,CONSTANT
42,824.4875623567217,77.88725733455772,78,990.2129675802519,Riley,Williams,Fresno,India,Procurement,Fort Worth,Houston,CONSTANT,CONSTANT
43,843.1618999913928,30.307235416071347,5,953.066874562155,Isabella,Sanchez,Seattle,Netherlands,Finance,San Diego,Baltimore,CONSTANT,CONSTANT
6,682.6496065190136,59.92700662656679,62,906.3000181483259,Henry,Brown,Raleigh,Italy,Finance,,,CONSTANT,CONSTANT
20,914.182349120446,74.29916796752833,93,730.3712555070613,Sebastian,Lee,Boston,France,IT,San Antonio,Fresno,CONSTANT,CONSTANT
17,962.0583780587232,58.648696557812876,36,742.5488277258816,Abigail,Martinez,Kansas City,Canada,Engineering,,Boston,CONSTANT,CONSTANT
43,174.53582916115795,57.27596001936692,72,239.36215054067722,Olivia,Scott,Colorado Springs,China,Product,,,CONSTANT,CONSTANT
71,467.3613513270152,42.38355536756177,20,196.1878867923399,Sebastian,Hill,Las Vegas,Czech Republic,Finance,,,CONSTANT,CONSTANT
42,61.769968788313534,47.97091436262623,7,770.7505120718087,Carter,Miller,Nashville,USA,Legal,,,CONSTANT,CONSTANT
89,985.8993596232895,56.49361444325852,79,723.8150609608203,David,Thompson,Jacksonville,Spain,Analytics,,,CONSTANT,CONSTANT
31,14.00511052694975,51.387326900528585,13,557.481310629041,Samuel,Brown,Tucson,New Zealand,IT,,Boston,CONSTANT,CONSTANT
