num_1,num_2,num_3,first_name,last_name,city,country,department,with_nulls_1,contract_type_1,date_1,date_2
6,417.75630252604225,38.452820819789515,Emily,Rodriguez,Milwaukee,Belgium,Design,,CONTRACT,31-Oct-2022,03-Mar-2022
34,39.467660206914616,58.97751184959124,Chloe,Moore,Detroit,Singapore,Operations,Las Vegas,CONTRACT,14-Sep-2020,11-Jan-2020
11,574.8159390680948,43.95923524927784,Lily,Robinson,Houston,Italy,Operations,,CONTRACT,20-Feb-2021,13-Apr-2020
98,804.3737065534248,53.64675428390919,,White,Louisville,Australia,Finance,,CONTRACT,19-Mar-2023,18-Sep-2021
52,345.5234556681677,67.7907480877272,Riley,Robinson,Mesa,France,Procurement,Boston,CONTRACT,19-Jul-2021,10-Jan-2022
34,383.52499579874234,54.34896668107259,Chloe,Robinson,San Antonio,Japan,Human Resources,,CONTRACT,19-Jan-2023,18-Jun-2021
13,242.8516352016312,61.17426705266673,,Hernandez,San Jose,Mexico,Operations,Denver,CONTRACT,09-Mar-2023,23-Dec-2023
4,44.79419458522427,59.87338898615054,Lucas,Thompson,Austin,USA,Design,,CONTRACT,23-Oct-2023,21-Aug-2023
48,807.382153054307,25.569594056891432,Ethan,Wilson,Chicago,Brazil,Legal,,CONTRACT,24-Nov-2020,08-May-2021
68,20.612862817685595,52.51474384563328,Harper,Lopez,Albuquerque,Ireland,Sales,,CONTRACT,27-Jul-2022,06-Mar-2021
71,768.7125958515551,35.9274558876753,Samuel,King,Colorado Springs,Norway,Legal,,CONTRACT,08-Apr-2023,05-Aug-2022
42,824.4875623567217,77.88725733455772,David,Moore,,Austria,Research,,CONTRACT,03-Mar-2022,19-May-2021
43,843.1618999913928,30.307235416071347,,Jackson,Albuquerque,Brazil,Engineering,,CONTRACT,30-Nov-2022,18-Sep-2020
6,682.6496065190136,59.92700662656679,Jack,Allen,,Norway,Analytics,,CONTRACT,13-May-2020,19-Jul-2023
20,914.182349120446,74.29916796752833,,Thompson,Columbus,Brazil,Customer Support,,CONTRACT,16-Oct-2020,14-Feb-2023
17,962.0583780587232,58.648696557812876,Chloe,Johnson,Kansas City,Australia,Legal,,CONTRACT,27-Aug-2022,28-Aug-2022
43,174.53582916115795,57.27596001936692,Mia,Jackson,Dallas,Switzerland,Operations,,CONTRACT,29-Sep-2021,13-Apr-2023
71,467.3613513270152,42.38355536756177,Noah,Flores,Los Angeles,Ireland,Finance,,CONTRACT,09-Mar-2022,10-Jul-2020
42,61.769968788313534,47.97091436262623,David,Hernandez,,South Korea,Human Resources,,CONTRACT,21-Jul-2022,22-Mar-2022
89,985.8993596232895,56.49361444325852,Sophia,Young,San Francisco,Portugal,Human Resources,,CONTRACT,14-Jan-2023,10-Feb-2023
31,14.00511052694975,51.387326900528585,Grace,Williams,Fresno,France,Operations,,CONTRACT,05-Dec-2021,26-May-2023
20,896.8329055359944,7.932774237891557,Ethan,Hill,Fresno,Belgium,Operations,,CONTRACT,10-Apr-2023,19-Dec-2023
0,341.31929006046124,38.05285585463268,Lily,Thomas,Milwaukee,Finland,Customer Support,Louisville,CONTRACT,07-Apr-2023,27-Jun-2022
55,58.690041635084064,45.558290564031466,Avery,Thompson,Milwaukee,Singapore,Engineering,,CONTRACT,15-Feb-2022,14-Apr-2022
99,873.4550813975638,59.931527835019146,Chloe,Torres,,India,Customer Support,Milwaukee,CONTRACT,18-Oct-2021,30-Jan-2023
11,280.3378315366981,32.28472865667122,Sofia,King,Houston,Netherlands,Research,,CONTRACT,27-Dec-2021,28-Nov-2023
76,996.8526011803336,52.92889749190619,Chloe,Thomas,Colorado Springs,Netherlands,Marketing,Portland,CONTRACT,20-Aug-2020,29-Jun-2021
48,458.84008613681647,39.97677936483646,Sophia,Davis,,Norway,Quality Assurance,Chicago,CONTRACT,24-Sep-2022,25-Jul-2021
8,629.4605569430483,51.89805522736821,Elizabeth,Clark,Houston,Norway,Finance,Denver,CONTRACT,18-Sep-2023,04-Nov-2021
